"id";"order";"apn";"specification";"quantity";"machine";"createdDate";"top";"bot";"front";"back";"left";"right";"user_firstname"
89;"25.0072.12";"353934172+35629905-1301520P1";"Holder Head";32;"SM 3";"2025-06-16 09:47:43";32;32;0;0;32;32;"admin1"
90;"25.0072.12";"353934172+35629905-1301520P2";"POM_Part";32;"SM 3";"2025-06-16 09:48:01";32;32;0;0;0;0;"admin1"
91;"25.0072.12";"353934172+35629905-1301520P3";"Stop Tapping";64;"SM 3";"2025-06-16 09:48:19";64;64;0;0;0;0;"admin1"
94;"25.010812";"353934172+35629905-1301520P1";"Holder Head";32;"SM 2";"2025-06-16 10:57:11";0;0;32;0;0;0;"admin1"
95;"25.0108.12";"35640325+35848631-17010000P1";"Holder Head";32;"SM 2";"2025-06-16 11:13:39";32;32;32;0;32;32;"admin1"
96;"25.0108.12";"35640325+35848631-17010000P2";"Holder Head";32;"SM 2";"2025-06-16 11:13:59";32;32;0;0;0;0;"admin1"
97;"25.0137.14";"10776483-1211010BB";"Codding";172;"SM 1";"2025-06-16 14:27:55";172;172;0;0;0;0;"admin1"
98;"25.0137.14";"10776483-1211010PP";"Holder Head";172;"SM 1";"2025-06-16 14:28:13";172;0;0;0;0;0;"admin1"
99;"25.0137.14";"10776483-1211010PP";"Holder Head";60;"VF2 SS";"2025-06-16 14:28:32";0;60;0;0;0;0;"admin1"
